,loss,acc,val_loss,val_acc
0,0.785799503326416,0.768583357334137,0.31653454899787903,0.9136000275611877
1,0.39283111691474915,0.8887666463851929,0.23981523513793945,0.9302999973297119
2,0.31775814294815063,0.9090833067893982,0.2037583291530609,0.9394000172615051
3,0.2691843509674072,0.9232166409492493,0.17426151037216187,0.9484999775886536
4,0.2375028282403946,0.9340333342552185,0.15883827209472656,0.9524000287055969
5,0.21201856434345245,0.9406333565711975,0.14302092790603638,0.9563999772071838
6,0.19431917369365692,0.9449833035469055,0.13061577081680298,0.960099995136261
7,0.17781302332878113,0.9498999714851379,0.12266890704631805,0.9623000025749207
8,0.16407927870750427,0.9537166953086853,0.11264602094888687,0.9648000001907349
9,0.1526937633752823,0.9563166499137878,0.1063440814614296,0.9670000076293945
10,0.1416465789079666,0.9604166746139526,0.10175766050815582,0.968500018119812
11,0.13445360958576202,0.9629999995231628,0.09606505185365677,0.9696999788284302
12,0.1263999193906784,0.9638000130653381,0.09270894527435303,0.9704999923706055
13,0.1188354641199112,0.9661833047866821,0.08865775913000107,0.972599983215332
14,0.1110784113407135,0.968500018119812,0.08422142267227173,0.9735000133514404
15,0.106195829808712,0.970466673374176,0.08417867124080658,0.9732000231742859
16,0.10028725862503052,0.9714833498001099,0.07995745539665222,0.9745000004768372
17,0.09645947068929672,0.9729333519935608,0.0778508335351944,0.9757999777793884
18,0.0912330374121666,0.9742000102996826,0.0778980478644371,0.9758999943733215
19,0.08754273504018784,0.975433349609375,0.07427514344453812,0.9758999943733215
