,loss,acc,val_loss,val_acc
0,0.27328041195869446,0.9200833439826965,0.11873118579387665,0.9624999761581421
1,0.12095492333173752,0.9653833508491516,0.09247840940952301,0.9710000157356262
2,0.08745557814836502,0.973800003528595,0.07970572263002396,0.9754999876022339
3,0.0681578665971756,0.9803166389465332,0.08184615522623062,0.9754999876022339
4,0.05811241269111633,0.9830499887466431,0.07559798657894135,0.9793000221252441
5,0.04613512009382248,0.986050009727478,0.07807082682847977,0.9789999723434448
6,0.04111674427986145,0.9876333475112915,0.09518373012542725,0.9767000079154968
7,0.03623544052243233,0.9884833097457886,0.08197219669818878,0.9799000024795532
8,0.031248627230525017,0.9902333617210388,0.08800771832466125,0.9790999889373779
9,0.02855992317199707,0.9908999800682068,0.10763741284608841,0.978600025177002
