,loss,acc,val_loss,val_acc
0,2.2802414894104004,0.14395000040531158,2.1523075103759766,0.3050999939441681
1,2.116088390350342,0.27391666173934937,1.9896454811096191,0.5587999820709229
2,1.9661763906478882,0.3969166576862335,1.8266907930374146,0.6685000061988831
3,1.8198126554489136,0.48323333263397217,1.6656818389892578,0.718999981880188
4,1.6771193742752075,0.54708331823349,1.5113106966018677,0.7524999976158142
5,1.556743860244751,0.5838000178337097,1.371803641319275,0.7777000069618225
6,1.439433217048645,0.6185166835784912,1.2473269701004028,0.7943999767303467
7,1.3359166383743286,0.6438000202178955,1.138824224472046,0.8075000047683716
8,1.2521891593933105,0.6638500094413757,1.0463184118270874,0.8187000155448914
9,1.1743210554122925,0.6831166744232178,0.966723620891571,0.828499972820282
10,1.112758755683899,0.6948666572570801,0.8993512988090515,0.8353999853134155
11,1.0552008152008057,0.7101500034332275,0.8407757878303528,0.8424000144004822
12,1.00443434715271,0.7231166958808899,0.7903839945793152,0.8468999862670898
13,0.958669126033783,0.7324333190917969,0.7469924688339233,0.8517000079154968
14,0.9199618101119995,0.743233323097229,0.7090914845466614,0.8560000061988831
15,0.8876931071281433,0.7510333061218262,0.6763125658035278,0.8611999750137329
16,0.8532135486602783,0.7609500288963318,0.6473366022109985,0.8654000163078308
17,0.8243327736854553,0.7668499946594238,0.6216292381286621,0.8682000041007996
18,0.8056285977363586,0.7717999815940857,0.5991541743278503,0.8697999715805054
19,0.7851793766021729,0.776199996471405,0.5793089270591736,0.8726000189781189
