,loss,mse,val_loss,val_mse
0,3.8335540294647217,3.8335540294647217,7.814643859863281,7.814643859863281
1,3.557016372680664,3.557016372680664,7.481906890869141,7.481906890869141
2,3.3798913955688477,3.3798913955688477,7.0930376052856445,7.0930376052856445
3,3.184713840484619,3.184713840484619,6.859619140625,6.859619140625
4,3.065082311630249,3.065082311630249,6.643563747406006,6.643563747406006
5,2.952601432800293,2.952601432800293,6.435046195983887,6.435046195983887
6,2.841951608657837,2.841951608657837,6.075836181640625,6.075836181640625
7,2.6713430881500244,2.6713430881500244,5.867735385894775,5.867735385894775
8,2.568359613418579,2.568359613418579,5.71279239654541,5.71279239654541
9,2.4829843044281006,2.4829843044281006,5.546187400817871,5.546187400817871
0,2.397509813308716,2.397509813308716,5.306632041931152,5.306632041931152
1,2.2865309715270996,2.2865309715270996,5.167469024658203,5.167469024658203
2,2.2173726558685303,2.2173726558685303,4.9899139404296875,4.9899139404296875
3,2.1394846439361572,2.1394846439361572,4.894991874694824,4.894991874694824
4,2.090959310531616,2.090959310531616,4.799510955810547,4.799510955810547
5,2.0415430068969727,2.0415430068969727,4.702558517456055,4.702558517456055
6,1.9918900728225708,1.9918900728225708,4.51533842086792,4.51533842086792
7,1.9141700267791748,1.9141700267791748,4.414411544799805,4.414411544799805
8,1.8657329082489014,1.8657329082489014,4.338340759277344,4.338340759277344
9,1.8213720321655273,1.8213720321655273,4.258725166320801,4.258725166320801
10,1.781913161277771,1.781913161277771,4.197606563568115,4.197606563568115
11,1.7482374906539917,1.7482374906539917,4.028289794921875,4.028289794921875
12,1.679660677909851,1.679660677909851,3.971444606781006,3.971444606781006
13,1.6499807834625244,1.6499807834625244,3.935786008834839,3.935786008834839
14,1.6189862489700317,1.6189862489700317,3.873626708984375,3.873626708984375
15,1.5896121263504028,1.5896121263504028,3.7919764518737793,3.7919764518737793
16,1.5554614067077637,1.5554614067077637,3.717524766921997,3.717524766921997
17,1.5251166820526123,1.5251166820526123,3.648057460784912,3.648057460784912
18,1.4950652122497559,1.4950652122497559,3.556983232498169,3.556983232498169
19,1.4591679573059082,1.4591679573059082,3.494762420654297,3.494762420654297
20,1.4337513446807861,1.4337513446807861,3.4622161388397217,3.4622161388397217
21,1.415174126625061,1.415174126625061,3.412095546722412,3.412095546722412
22,1.3947535753250122,1.3947535753250122,3.3801231384277344,3.3801231384277344
23,1.376534104347229,1.376534104347229,3.3344337940216064,3.3344337940216064
24,1.3594435453414917,1.3594435453414917,3.3006253242492676,3.3006253242492676
25,1.3429816961288452,1.3429816961288452,3.2513351440429688,3.2513351440429688
26,1.3257195949554443,1.3257195949554443,3.2023746967315674,3.2023746967315674
27,1.3093843460083008,1.3093843460083008,3.1747024059295654,3.1747024059295654
28,1.2971049547195435,1.2971049547195435,3.1161575317382812,3.1161575317382812
29,1.276011347770691,1.276011347770691,3.0693116188049316,3.0693116188049316
30,1.2574795484542847,1.2574795484542847,3.0313708782196045,3.0313708782196045
31,1.245599389076233,1.245599389076233,3.0103611946105957,3.0103611946105957
32,1.2382696866989136,1.2382696866989136,2.983473777770996,2.983473777770996
33,1.2235329151153564,1.2235329151153564,2.952784299850464,2.952784299850464
34,1.2099977731704712,1.2099977731704712,2.9282476902008057,2.9282476902008057
35,1.2014832496643066,1.2014832496643066,2.8998537063598633,2.8998537063598633
36,1.1933730840682983,1.1933730840682983,2.853724956512451,2.853724956512451
37,1.1812412738800049,1.1812412738800049,2.8169054985046387,2.8169054985046387
38,1.1696593761444092,1.1696593761444092,2.7998290061950684,2.7998290061950684
39,1.1631923913955688,1.1631923913955688,2.7803871631622314,2.7803871631622314
40,1.1552932262420654,1.1552932262420654,2.777791976928711,2.777791976928711
41,1.1483043432235718,1.1483043432235718,2.7437567710876465,2.7437567710876465
42,1.1390941143035889,1.1390941143035889,2.7152462005615234,2.7152462005615234
43,1.1320494413375854,1.1320494413375854,2.6918976306915283,2.6918976306915283
44,1.1232236623764038,1.1232236623764038,2.6708381175994873,2.6708381175994873
45,1.1181440353393555,1.1181440353393555,2.655392646789551,2.655392646789551
46,1.1126857995986938,1.1126857995986938,2.6365017890930176,2.6365017890930176
