,loss,mse,val_loss,val_mse
0,99.30976867675781,99.30976867675781,83.0101547241211,83.0101547241211
1,98.58905792236328,98.58905792236328,82.66647338867188,82.66647338867188
2,98.18907165527344,98.18907165527344,82.52057647705078,82.52057647705078
3,97.93177795410156,97.93177795410156,82.47705078125,82.47705078125
4,97.76608276367188,97.76608276367188,82.57421112060547,82.57421112060547
5,97.70447540283203,97.70447540283203,82.59358215332031,82.59358215332031
6,97.60884094238281,97.60884094238281,82.61685180664062,82.61685180664062
7,97.56928253173828,97.56928253173828,82.66546630859375,82.66546630859375
8,97.55136108398438,97.55136108398438,82.71853637695312,82.71853637695312
9,97.51200103759766,97.51200103759766,82.79449462890625,82.79449462890625
0,97.48394012451172,97.48394012451172,82.771484375,82.771484375
1,97.47723388671875,97.47723388671875,82.79080963134766,82.79080963134766
2,97.48262023925781,97.48262023925781,82.80192565917969,82.80192565917969
3,97.48046112060547,97.48046112060547,82.81758880615234,82.81758880615234
4,97.47166442871094,97.47166442871094,82.90597534179688,82.90597534179688
5,97.5034408569336,97.5034408569336,82.9199447631836,82.9199447631836
6,97.48595428466797,97.48595428466797,82.90523529052734,82.90523529052734
7,97.48753356933594,97.48753356933594,82.90597534179688,82.90597534179688
8,97.48895263671875,97.48895263671875,82.92847442626953,82.92847442626953
9,97.47268676757812,97.47268676757812,82.97669982910156,82.97669982910156
10,97.48957824707031,97.48957824707031,82.9471206665039,82.9471206665039
11,97.4941177368164,97.4941177368164,83.0584945678711,83.0584945678711
12,97.48743438720703,97.48743438720703,82.99484252929688,82.99484252929688
13,97.4787368774414,97.4787368774414,82.9510269165039,82.9510269165039
14,97.47547912597656,97.47547912597656,83.09466552734375,83.09466552734375
15,97.49288177490234,97.49288177490234,82.96504974365234,82.96504974365234
16,97.48722076416016,97.48722076416016,82.97859191894531,82.97859191894531
17,97.48342895507812,97.48342895507812,83.06442260742188,83.06442260742188
18,97.47635650634766,97.47635650634766,82.88610076904297,82.88610076904297
19,97.47187805175781,97.47187805175781,82.95327758789062,82.95327758789062
20,97.45623016357422,97.45623016357422,82.97073364257812,82.97073364257812
21,97.47591400146484,97.47591400146484,82.91079711914062,82.91079711914062
22,97.51126098632812,97.51126098632812,82.95513916015625,82.95513916015625
23,97.4817886352539,97.4817886352539,82.8810043334961,82.8810043334961
24,97.49605560302734,97.49605560302734,82.8449935913086,82.8449935913086
25,97.47039031982422,97.47039031982422,82.9261703491211,82.9261703491211
26,97.45219421386719,97.45219421386719,82.85089111328125,82.85089111328125
27,97.4800796508789,97.4800796508789,82.83929443359375,82.83929443359375
28,97.51950073242188,97.51950073242188,82.90460205078125,82.90460205078125
29,97.47721862792969,97.47721862792969,82.90069580078125,82.90069580078125
