           1     -6.6477     -6.6477           0
           2    -6.64483    -6.64626  0.00101558
           3    -6.64795    -6.64683 0.000817537
           4    -6.64996    -6.64761 0.000914459
           5    -6.64585    -6.64726 0.000796383
           6    -6.64654    -6.64714 0.000672571
           7    -6.65109     -6.6477 0.000778359
           8    -6.64549    -6.64743 0.000728556
           9    -6.64752    -6.64744 0.000647676
          10    -6.64732    -6.64742 0.000583009
          11    -6.64743    -6.64742 0.000530008
          12    -6.64831     -6.6475 0.000490919
          13    -6.64549    -6.64734 0.000476855
          14    -6.64964    -6.64751 0.000470078
          15    -6.64664    -6.64745 0.000442271
          16    -6.65255    -6.64777 0.000516739
          17    -6.64698    -6.64772 0.000488437
          18    -6.65197    -6.64796 0.000515082
          19    -6.64607    -6.64786 0.000497494
          20     -6.6525    -6.64809 0.000523963
