           1     1.21411     1.21411           0
           2     1.21061     1.21236  0.00123719
           3     1.21384     1.21285  0.00091807
           4     1.21605     1.21365 0.000976799
           5     1.21236     1.21339 0.000815024
           6     1.21235     1.21322 0.000697639
           7     1.21651     1.21369 0.000739244
           8      1.2117     1.21344 0.000687347
           9     1.21351     1.21345 0.000611013
          10     1.21341     1.21344 0.000549923
          11     1.21361     1.21346 0.000500137
          12     1.21476     1.21357 0.000470063
          13     1.21156     1.21341 0.000458576
          14     1.21556     1.21357 0.000450741
          15     1.21242     1.21349 0.000427116
          16     1.21801     1.21377 0.000484954
          17     1.21284     1.21372 0.000459545
          18     1.21772     1.21394 0.000484754
          19     1.21216     1.21385 0.000468163
          20     1.21812     1.21406 0.000491006
