           1    -5.43359    -5.43359           0
           2    -5.43422    -5.43391 0.000221608
           3    -5.43411    -5.43397 0.000157652
           4    -5.43391    -5.43396 0.000119113
           5    -5.43349    -5.43386 0.000126465
           6    -5.43419    -5.43392 0.000116747
           7    -5.43459    -5.43401 0.000133485
           8    -5.43379    -5.43399 0.000119715
           9    -5.43401    -5.43399 0.000106449
          10    -5.43391    -5.43398 9.60872e-05
          11    -5.43382    -5.43397 8.85069e-05
          12    -5.43355    -5.43393 8.77261e-05
          13    -5.43393    -5.43393 8.09779e-05
          14    -5.43408    -5.43394 7.58588e-05
          15    -5.43422    -5.43396 7.30604e-05
          16    -5.43453      -5.434 7.68326e-05
          17    -5.43414      -5.434 7.27828e-05
          18    -5.43425    -5.43402 7.00029e-05
          19     -5.4339    -5.43401 6.65806e-05
          20    -5.43438    -5.43403 6.58081e-05
