           1    0.809406    0.809406           0
           2    0.807073    0.808239 0.000824792
           3    0.809227    0.808569 0.000612046
           4    0.810702    0.809102 0.000651199
           5    0.808239    0.808929 0.000543349
           6    0.808231    0.808813 0.000465093
           7    0.811004    0.809126 0.000492829
           8      0.8078     0.80896 0.000458231
           9    0.809004    0.808965 0.000407342
          10    0.808941    0.808963 0.000366615
          11    0.809073    0.808973 0.000333425
          12     0.80984    0.809045 0.000313376
          13    0.807706    0.808942 0.000305717
          14    0.810374    0.809044 0.000300494
          15     0.80828    0.808993 0.000284744
          16    0.812007    0.809182 0.000323303
          17    0.808557    0.809145 0.000306364
          18    0.811811    0.809293 0.000323169
          19    0.808109    0.809231 0.000312109
          20    0.812077    0.809373 0.000327337
