gen,cost
0,43945.2
1,39653.3
2,36337.5
3,31593.8
4,28248.7
5,26240.1
6,24211.8
7,22630
8,21740.5
9,20362.3
10,19831
11,18137.7
12,16797.4
13,17362
14,17320.8
15,16272.4
16,16044.2
17,16814.1
18,16236.2
19,15001.6
20,14729.3
21,14431.9
22,14148.1
23,14155.7
24,13927.4
25,13699.5
26,13561.4
27,13721.2
28,13872.3
29,13501.8
30,14126.6
31,13362.4
32,13290.2
33,13608.3
34,13026.4
35,12868.6
36,13440.6
37,13305.4
38,12957
39,13049.5
40,13094.5
41,12768
42,12652.4
43,12615.6
44,12579.6
45,12567.8
46,12565.7
47,12560.4
48,12559.4
49,12574.4
50,12602.4
51,12544.8
52,12538
53,12492.7
54,12536
55,12585
56,12478.6
57,12758.6
58,12963.9
59,13262.9
60,12909.5
61,12819
62,12559.6
63,12490.2
64,12453
65,12393.1
66,12379.3
67,12381.5
68,12357.5
69,12333.8
70,12355.3
71,12304.7
72,12286.1
73,12293
74,12285
75,12263.9
76,12256.1
77,12235.6
78,12221.6
79,12200.9
80,12183.7
81,12183
82,12231.4
83,12195.9
84,12375.9
85,12285.7
86,12299.8
87,12214.7
88,12217.9
89,12148.8
90,12148.8
91,12146.7
92,12144.7
93,12142.9
94,12140.4
95,12137.1
96,12134.1
97,12139.3
98,12137.2
99,12138.4
100,12122.9
101,12108.8
102,12101.6
103,12106.3
104,12093.8
105,12094.7
106,12093.1
107,12092.9
108,12098.3
109,12104
110,12089.5
111,12086.6
112,12080.6
113,12111.9
114,12104.4
115,12127.5
116,12103.5
117,12061.1
118,12065.7
119,12036.2
120,12030.9
121,12041
122,12051.5
123,12039.5
124,12029.9
125,12029.9
126,12029.9
127,12029.9
128,12031.7
129,12029.7
130,12029.1
131,12028.6
132,12028.2
133,12028
134,12032
135,12027.7
136,12032.2
137,12032.7
138,12030.3
139,12030.9
140,12029.3
141,12040
142,12027.8
143,12027.7
144,12027.7
145,12027.7
146,12027.7
147,12037
148,12053
149,12047.8
150,12076.4
151,12080.9
152,12084.6
153,12034.5
154,12033.7
155,12035.2
156,12053.3
157,12041.8
158,12049.7
159,12053.9
160,12072.3
161,12078.8
162,12034.4
163,12035.2
164,12033
165,12080
166,12022.1
167,12019.4
168,12017.8
169,12016.6
170,12016
171,12016
172,12017
173,12022.4
174,12021.6
175,12021
176,12019.6
177,12016.1
178,12017.9
179,12015.5
180,12015
181,12014.6
182,12014.4
183,12028.9
184,12052.8
185,12014.5
186,12014.2
187,12014.2
188,12014.2
189,12014.2
190,12014.2
191,12014.2
192,12014.2
193,12014.4
194,12014.2
195,12014.2
196,12014.3
197,12032.4
198,12020.7
199,12027.7
200,12021.3
201,12016.8
202,12014.4
203,12019.9
204,12014.2
205,12014.2
206,12014.2
207,12015.4
208,12014.2
209,12014.5
210,12014.7
211,12014.2
212,12014.2
213,12014.2
214,12014.2
215,12014.2
216,12014.2
217,12015.5
218,12017.6
219,12014.2
220,12018.1
221,12014.4
222,12015.2
223,12022.8
224,12025
225,12024.3
226,12014.6
227,12022.5
228,12034
229,12014.2
230,12014.2
231,12015
232,12015.6
233,12015.1
234,12031.2
235,12031.1
236,12014.9
237,12014.9
238,12014.2
239,12014.4
240,12017.9
241,12014.6
242,12014.2
243,12014.4
244,12019.7
245,12014.2
246,12014.2
247,12019.7
248,12024.6
249,12014.2
250,12014.2
251,12015.3
252,12016.8
253,12024.2
254,12014.2
255,12014.2
256,12014.2
257,12014.2
258,12015.8
259,12016.3
260,12026.8
261,12014.2
262,12014.2
263,12014.2
264,12014.2
265,12014.2
266,12014.2
267,12014.2
268,12014.2
269,12019.5
270,12022.3
271,12014.2
272,12040.9
273,12022.8
274,12013.9
275,12013.8
276,12013.8
277,12013.8
278,12013.8
279,12033
280,12027.8
281,12012.6
282,12013.8
283,12050.6
284,12107.6
285,12078.6
286,12025.4
287,12037
288,12027.1
289,11998.2
290,12003.3
291,12010.4
292,11999.3
293,11998.2
294,11998.2
295,11998.1
296,11997.4
297,12039.6
298,12101.2
299,11987.1
300,11979.4
