mu,sigma^2,energy,err
0.80329,0.899152,-0.00421621,0.00177507
0.696178,0.834809,-0.195034,0.00132533
0.696178,0.834809,-0.195034,0.00132533
0.748228,0.842371,-0.143779,0.00147558
0.61041,0.668766,-0.308393,0.000667085
0.701304,0.472509,-0.396936,0.000303146
0.772302,0.430717,-0.43246,0.000322571
0.709292,0.3743,-0.415079,0.00024113
0.709292,0.3743,-0.415079,0.00024113
0.844728,0.580019,-0.306564,0.0009113
0.62498,0.600971,-0.328337,0.000600284
0.62498,0.600971,-0.328337,0.000600284
0.660231,0.821191,-0.226263,0.0013702
0.660231,0.821191,-0.226263,0.0013702
0.660231,0.821191,-0.226263,0.0013702
0.687044,0.632561,-0.326566,0.00071341
0.79882,0.523722,-0.379418,0.000694391
0.748615,0.498162,-0.399474,0.000433148
0.918794,0.368819,-0.388129,0.000430366
0.918794,0.368819,-0.388129,0.000430366
1.06787,0.314444,-0.136346,0.000469798
1.06787,0.314444,-0.136346,0.000469798
1.06787,0.314444,-0.136346,0.000469798
0.948795,0.538508,-0.224586,0.00108559
0.948795,0.538508,-0.224586,0.00108559
0.865226,0.612399,-0.254071,0.00108382
0.692816,0.544543,-0.368032,0.000517187
0.762974,0.387175,-0.439186,0.000239794
0.894909,0.402855,-0.40376,0.000441846
0.894909,0.402855,-0.40376,0.000441846
0.894909,0.402855,-0.40376,0.000441846
0.894909,0.402855,-0.40376,0.000441846
0.699627,0.452146,-0.40052,0.000308887
0.699627,0.452146,-0.40052,0.000308887
0.884083,0.39066,-0.416044,0.000379459
0.884083,0.39066,-0.416044,0.000379459
0.914574,0.498251,-0.320209,0.000715764
0.914574,0.498251,-0.320209,0.000715764
0.914574,0.498251,-0.320209,0.000715764
0.910288,0.376391,-0.395435,0.000399197
0.762539,0.407989,-0.436768,0.000241602
0.828665,0.572302,-0.32548,0.000827809
0.828665,0.572302,-0.32548,0.000827809
0.936015,0.475749,-0.312183,0.000758449
0.936015,0.475749,-0.312183,0.000758449
0.936015,0.475749,-0.312183,0.000758449
0.936015,0.475749,-0.312183,0.000758449
0.936015,0.475749,-0.312183,0.000758449
0.936015,0.475749,-0.312183,0.000758449
0.936015,0.475749,-0.312183,0.000758449
0.803938,0.636139,-0.283493,0.000973975
1.03149,0.515601,-0.0823927,0.00125118
1.03149,0.515601,-0.0823927,0.00125118
1.03149,0.515601,-0.0823927,0.00125118
1.03149,0.515601,-0.0823927,0.00125118
1.03149,0.515601,-0.0823927,0.00125118
0.87956,0.42951,-0.403666,0.000431284
0.928176,0.386795,-0.376011,0.000429491
1.1076,0.551782,0.221969,0.00172817
1.2146,0.34646,0.315113,0.00126959
1.03085,0.452683,-0.163377,0.0010689
1.03085,0.452683,-0.163377,0.0010689
0.880627,0.620949,-0.225761,0.00102816
0.880627,0.620949,-0.225761,0.00102816
0.880627,0.620949,-0.225761,0.00102816
0.880627,0.620949,-0.225761,0.00102816
0.889371,0.412192,-0.405086,0.000459656
0.889371,0.412192,-0.405086,0.000459656
0.889371,0.412192,-0.405086,0.000459656
0.651901,0.639633,-0.322263,0.000642574
0.66019,0.800523,-0.23867,0.0010767
0.815252,0.608027,-0.303052,0.000932207
0.871579,0.640671,-0.212368,0.00111226
0.871579,0.640671,-0.212368,0.00111226
0.716205,0.425037,-0.41514,0.000281981
0.9304,0.416582,-0.363618,0.000556972
0.9304,0.416582,-0.363618,0.000556972
0.9304,0.416582,-0.363618,0.000556972
0.827552,0.482811,-0.399453,0.000491491
0.907395,0.672165,-0.122529,0.00150475
0.987541,0.598593,-0.0633649,0.00149712
0.940169,0.628912,-0.120354,0.00126401
0.940169,0.628912,-0.120354,0.00126401
0.759109,0.55394,-0.367056,0.000669329
0.669162,0.381839,-0.386035,0.00025846
0.764353,0.567277,-0.358721,0.00065153
0.764353,0.567277,-0.358721,0.00065153
0.75796,0.588044,-0.345271,0.000720478
0.869833,0.383696,-0.425064,0.000337022
0.728714,0.484136,-0.402281,0.000413184
0.777493,0.319518,-0.42042,0.000324365
0.777493,0.319518,-0.42042,0.000324365
0.933753,0.471751,-0.319986,0.000733665
0.91509,0.431153,-0.372743,0.000524733
0.886245,0.534661,-0.313698,0.000789864
0.642146,0.431944,-0.3645,0.000297192
0.787109,0.202103,-0.0776446,0.00100108
0.787109,0.202103,-0.0776446,0.00100108
0.644481,0.389744,-0.364955,0.000314501
0.644481,0.389744,-0.364955,0.000314501
0.444195,0.582376,-0.229496,0.00046007
0.618651,0.753081,-0.276173,0.000764895
0.618651,0.753081,-0.276173,0.000764895
0.618651,0.753081,-0.276173,0.000764895
0.618651,0.753081,-0.276173,0.000764895
0.442985,0.61187,-0.238653,0.000543618
0.442985,0.61187,-0.238653,0.000543618
0.603416,0.392917,-0.323146,0.000413523
0.829516,0.556951,-0.34107,0.000705833
0.831858,0.542736,-0.350594,0.00070658
0.832453,0.535632,-0.356346,0.000704934
0.832453,0.535632,-0.356346,0.000704934
0.969278,0.309675,-0.298592,0.000424302
0.929653,0.549687,-0.243101,0.00105428
0.929653,0.549687,-0.243101,0.00105428
0.771811,0.631273,-0.309706,0.000829143
0.714394,0.611173,-0.337098,0.000823374
0.714394,0.611173,-0.337098,0.000823374
0.714394,0.611173,-0.337098,0.000823374
0.714394,0.611173,-0.337098,0.000823374
0.714394,0.611173,-0.337098,0.000823374
0.545488,0.758896,-0.278167,0.000811093
0.545488,0.758896,-0.278167,0.000811093
0.350367,0.741066,-0.238382,0.000575321
0.142268,0.807573,-0.218309,0.000543576
0.344218,0.707477,-0.226549,0.000542629
0.43744,0.900353,-0.249374,0.000820657
0.355087,0.983412,-0.242445,0.00107084
0.33699,1.0301,-0.232386,0.000910763
0.263205,1.20991,-0.174468,0.0013271
0.263205,1.20991,-0.174468,0.0013271
0.290668,1.36566,-0.0677982,0.00196764
0.144651,1.15663,-0.21982,0.0010795
0.144651,1.15663,-0.21982,0.0010795
0.245569,1.05996,-0.237779,0.00110702
0.245569,1.05996,-0.237779,0.00110702
0.399606,0.934233,-0.248138,0.00100845
0.332913,0.882177,-0.253549,0.000693736
0.332913,0.882177,-0.253549,0.000693736
0.562987,0.747045,-0.282269,0.000762282
0.771736,0.915405,-0.0355667,0.00184893
0.665926,0.887413,-0.177799,0.00141315
0.665926,0.887413,-0.177799,0.00141315
0.630791,0.922283,-0.178041,0.00123235
0.412831,1.12417,-0.174325,0.00136146
