           1     1.64799     1.64799           0
           2     1.67553     1.66176  0.00973642
           3     1.62419     1.64924    0.012113
           4     1.64474     1.64811  0.00913668
           5     1.62698     1.64389  0.00822893
           6     1.64521     1.64411   0.0068604
           7     1.63733     1.64314  0.00594829
           8     1.65365     1.64445  0.00534785
           9     1.66544     1.64678  0.00523741
          10     1.64521     1.64663  0.00471604
          11     1.65353     1.64725  0.00432888
          12     1.64517     1.64708  0.00397164
          13     1.65513      1.6477  0.00371403
          14     1.62201     1.64586  0.00387557
          15     1.63257     1.64498  0.00371711
          16     1.64465     1.64496  0.00348485
          17     1.67388     1.64666   0.0036718
          18      1.6537     1.64705  0.00348859
          19     1.62798     1.64605  0.00344634
          20     1.65879     1.64668   0.0033324
