           1     2.19312     2.19312           0
           2     2.01132     2.10222   0.0642749
           3     2.26368     2.15604   0.0613774
           4     2.20117     2.16732   0.0470585
           5     2.24315     2.18249   0.0400159
           6     2.13795     2.17507   0.0340283
           7     2.30178     2.19317   0.0336394
           8     2.03543     2.17345   0.0347356
           9     2.11976     2.16749   0.0313842
          10     2.17115     2.16785    0.028248
          11     2.08804      2.1606   0.0265955
          12     2.13677     2.15861   0.0244532
          13     2.05846     2.15091   0.0237548
          14     2.32181     2.16311   0.0249986
          15      2.2451     2.16858   0.0239221
          16     2.13234     2.16631   0.0225339
          17      1.9796     2.15533   0.0237347
          18     2.12092     2.15342   0.0224929
          19     2.17184     2.15439     0.02133
          20     2.05424     2.14938    0.020843
