mu,sigma^2,energy,err
0.192088,1.39149,-0.0794771,0.00164205
0.31903,1.51339,0.0914358,0.00217781
0.31903,1.51339,0.0914358,0.00217781
0.31903,1.51339,0.0914358,0.00217781
0.113845,1.34994,-0.126157,0.00179128
0.202282,1.11172,-0.228526,0.00115465
0.276822,1.01006,-0.244141,0.000901207
0.276822,1.01006,-0.244141,0.000901207
0.471957,1.09832,-0.156824,0.00156308
0.409829,1.20997,-0.121627,0.00167538
0.267519,1.11201,-0.218506,0.00112247
0.243942,1.15143,-0.207256,0.00114854
0.326167,1.31629,-0.0831118,0.0016345
0.407511,1.11613,-0.176468,0.00129765
0.407511,1.11613,-0.176468,0.00129765
0.407511,1.11613,-0.176468,0.00129765
0.395964,1.14193,-0.167366,0.00138151
0.320356,1.00289,-0.239659,0.000912209
0.320356,1.00289,-0.239659,0.000912209
0.320356,1.00289,-0.239659,0.000912209
0.382483,0.873405,-0.257932,0.000781355
0.203052,1.11615,-0.226808,0.00104563
0.381351,1.05205,-0.214069,0.00110617
0.587157,0.895201,-0.217246,0.00118354
0.353385,0.91998,-0.252258,0.000834734
0.58379,0.808427,-0.259176,0.000982704
0.56135,0.86576,-0.239612,0.00112757
0.683683,0.71928,-0.28092,0.000953884
0.683683,0.71928,-0.28092,0.000953884
0.608288,0.632866,-0.316095,0.000561801
0.608288,0.632866,-0.316095,0.000561801
0.608288,0.632866,-0.316095,0.000561801
0.461582,0.668705,-0.261842,0.000528903
0.691844,0.884238,-0.156419,0.00147312
0.484086,0.750834,-0.272363,0.000684829
0.484086,0.750834,-0.272363,0.000684829
0.457299,0.876863,-0.256073,0.000806231
0.589058,0.784256,-0.269038,0.000914635
0.654318,0.546486,-0.353657,0.000532487
0.652533,0.578331,-0.343024,0.000522497
0.652533,0.578331,-0.343024,0.000522497
0.652533,0.578331,-0.343024,0.000522497
0.652533,0.578331,-0.343024,0.000522497
0.71101,0.800821,-0.210044,0.00115755
0.71101,0.800821,-0.210044,0.00115755
0.71101,0.800821,-0.210044,0.00115755
0.746684,0.77342,-0.204738,0.00129248
0.746684,0.77342,-0.204738,0.00129248
0.746684,0.77342,-0.204738,0.00129248
0.579734,0.711706,-0.290961,0.000789939
