mu,sigma^2,energy,err
0.101014,1.09004,-0.23991,0.000903287
0.237678,0.934854,-0.250929,0.000712609
0.3198,0.757984,-0.23476,0.000591549
0.181725,0.683425,-0.161756,0.000486357
0.400941,0.854412,-0.258626,0.00064179
0.527978,0.635797,-0.287082,0.000549051
0.501051,0.797839,-0.268389,0.000726269
0.451741,0.665406,-0.257008,0.000540426
0.454378,0.846099,-0.260985,0.000795857
0.523336,1.05959,-0.152038,0.00143296
0.476934,0.812683,-0.265763,0.000844198
0.445787,0.657574,-0.252239,0.000528827
0.509314,0.447847,-0.231523,0.000475115
0.509314,0.447847,-0.231523,0.000475115
0.729068,0.569798,-0.359161,0.00052398
0.649638,0.535875,-0.354064,0.000456442
0.613645,0.481361,-0.33888,0.000409046
0.620205,0.318249,-0.317115,0.000347385
0.620205,0.318249,-0.317115,0.000347385
0.620205,0.318249,-0.317115,0.000347385
0.620205,0.318249,-0.317115,0.000347385
0.56275,0.450624,-0.290554,0.000439128
0.56275,0.450624,-0.290554,0.000439128
0.62152,0.527467,-0.340992,0.000448304
0.62152,0.527467,-0.340992,0.000448304
0.818849,0.611228,-0.297585,0.00101318
0.693943,0.433551,-0.402102,0.000267482
0.693943,0.433551,-0.402102,0.000267482
0.714449,0.354363,-0.414732,0.000257765
0.714449,0.354363,-0.414732,0.000257765
0.792108,0.398513,-0.442465,0.00028129
0.792108,0.398513,-0.442465,0.00028129
0.792108,0.398513,-0.442465,0.00028129
0.938381,0.266981,-0.259656,0.000501699
0.938381,0.266981,-0.259656,0.000501699
0.938381,0.266981,-0.259656,0.000501699
0.938381,0.266981,-0.259656,0.000501699
0.938381,0.266981,-0.259656,0.000501699
0.858269,0.254405,-0.280829,0.000557942
0.858269,0.254405,-0.280829,0.000557942
0.836502,0.487518,-0.392801,0.000573884
0.836502,0.487518,-0.392801,0.000573884
0.836502,0.487518,-0.392801,0.000573884
0.836502,0.487518,-0.392801,0.000573884
0.636991,0.488986,-0.355168,0.000392338
0.636991,0.488986,-0.355168,0.000392338
0.75396,0.421814,-0.431187,0.000238116
0.675389,0.351396,-0.386115,0.00028872
0.673077,0.5051,-0.373635,0.00043218
0.852642,0.385828,-0.434072,0.000339737
0.852642,0.385828,-0.434072,0.000339737
0.852642,0.385828,-0.434072,0.000339737
0.852642,0.385828,-0.434072,0.000339737
0.949874,0.382986,-0.353095,0.000429249
0.949874,0.382986,-0.353095,0.000429249
0.715803,0.241717,-0.270878,0.000654491
0.715803,0.241717,-0.270878,0.000654491
0.922487,0.35746,-0.382346,0.000397954
0.922487,0.35746,-0.382346,0.000397954
0.922487,0.35746,-0.382346,0.000397954
0.776986,0.512307,-0.391644,0.00055298
0.776986,0.512307,-0.391644,0.00055298
0.620891,0.505359,-0.343209,0.00040506
0.810166,0.477103,-0.408478,0.000488332
0.810166,0.477103,-0.408478,0.000488332
0.810166,0.477103,-0.408478,0.000488332
0.810166,0.477103,-0.408478,0.000488332
0.75473,0.244544,-0.282984,0.000662992
0.75473,0.244544,-0.282984,0.000662992
0.75473,0.244544,-0.282984,0.000662992
0.880205,0.275931,-0.327465,0.000502987
0.880205,0.275931,-0.327465,0.000502987
0.909479,0.469433,-0.349463,0.000823556
0.69152,0.308326,-0.37631,0.000352295
0.461886,0.277168,-0.0390917,0.000556174
0.659686,0.221165,-0.190598,0.000704977
0.765815,0.450925,-0.424103,0.000336263
0.765815,0.450925,-0.424103,0.000336263
0.860655,0.400919,-0.427,0.000337562
0.891295,0.470681,-0.368217,0.000573995
0.69968,0.647,-0.318112,0.000779898
0.723047,0.713422,-0.270821,0.000903716
0.679813,0.690228,-0.297436,0.000860828
0.726302,0.545474,-0.372342,0.000576527
0.824957,0.649592,-0.255795,0.00110366
0.619662,0.828259,-0.239725,0.00103095
0.458174,0.860773,-0.257387,0.000909514
0.39643,0.847623,-0.257632,0.000731016
0.39643,0.847623,-0.257632,0.000731016
0.521946,0.827309,-0.261547,0.000903156
0.574853,0.741674,-0.283442,0.000748354
0.625589,0.970947,-0.145684,0.00154568
0.452147,1.04405,-0.196463,0.00136024
0.452147,1.04405,-0.196463,0.00136024
0.452147,1.04405,-0.196463,0.00136024
0.365886,0.861729,-0.256379,0.000806221
0.137706,0.862716,-0.236738,0.000471669
0.0754001,0.969867,-0.249685,0.000726483
0.311302,1.01209,-0.240433,0.00102413
0.177949,1.053,-0.243881,0.000858303
0.177949,1.053,-0.243881,0.000858303
